what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jsf.core,1.2.0.v20090514,"org.eclipse.jst.jsf.core",1319527400816
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1319527400843
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1319527400874
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.core",1319527400876
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.bugzilla.ui",1319527400877
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1319527400877
started,bundle,org.eclipse.mylyn.commons.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.commons.ui",1319527400909
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1319527400927
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1319527400941
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1319527400952
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1319527400972
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1319527400973
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1319527400973
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1319527400995
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1319527401070
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1319527401071
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1319527401090
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1319527401090
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1319527401145
started,bundle,com.powerflasher.fdt.core,3.5.0.1094,"com.powerflasher.fdt.core",1319527401183
started,bundle,com.powerflasher.fdt.core.dom,3.5.0.1094,"com.powerflasher.fdt.core.dom",1319527401183
started,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1094,"com.powerflasher.fdt.core.mxml",1319527401213
started,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1094,"com.powerflasher.fdt.professional.ui",1319527401213
started,bundle,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui",1319527401213
started,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1094,"com.powerflasher.fdt.ui.mxml",1319527401213
