what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.0.v200906080535,"org.eclipse.wst.common.project.facet.core",1318239324537
started,bundle,org.eclipse.wst.web,1.1.300.v200901261500,"org.eclipse.wst.web",1318239324608
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1318239324620
started,bundle,com.powerflasher.fdt.core,3.5.0.1094,"com.powerflasher.fdt.core",1318239324630
started,bundle,com.powerflasher.fdt.core.dom,3.5.0.1094,"com.powerflasher.fdt.core.dom",1318239324631
started,bundle,com.powerflasher.fdt.core.mxml,3.5.0.1094,"com.powerflasher.fdt.core.mxml",1318239324643
started,bundle,com.powerflasher.fdt.professional.ui,3.5.0.1094,"com.powerflasher.fdt.professional.ui",1318239324643
started,bundle,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui",1318239324643
started,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1094,"com.powerflasher.fdt.ui.launch",1318239324654
started,bundle,com.powerflasher.fdt.ui.mxml,3.5.0.1094,"com.powerflasher.fdt.ui.mxml",1318239324655
os,sysinfo,,,"win32",1318239324658
arch,sysinfo,,,"x86",1318239324658
ws,sysinfo,,,"win32",1318239324658
locale,sysinfo,,,"en_US",1318239324658
processors,sysinfo,,,"2",1318239324658
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1318239324658
java.runtime.version,sysinfo,,,"1.7.0-b147",1318239324658
java.specification.name,sysinfo,,,"Java Platform API Specification",1318239324658
java.specification.vendor,sysinfo,,,"Oracle Corporation",1318239324658
java.specification.version,sysinfo,,,"1.7",1318239324658
java.vendor,sysinfo,,,"Oracle Corporation",1318239324658
java.version,sysinfo,,,"1.7.0",1318239324658
java.vm.info,sysinfo,,,"mixed mode",1318239324658
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1318239324658
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1318239324658
