what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1319527401216
arch,sysinfo,,,"x86",1319527401216
ws,sysinfo,,,"win32",1319527401216
locale,sysinfo,,,"en_US",1319527401216
processors,sysinfo,,,"2",1319527401216
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1319527401216
java.runtime.version,sysinfo,,,"1.7.0-b147",1319527401216
java.specification.name,sysinfo,,,"Java Platform API Specification",1319527401216
java.specification.vendor,sysinfo,,,"Oracle Corporation",1319527401216
java.specification.version,sysinfo,,,"1.7",1319527401216
java.vendor,sysinfo,,,"Oracle Corporation",1319527401216
java.version,sysinfo,,,"1.7.0",1319527401216
java.vm.info,sysinfo,,,"mixed mode",1319527401216
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1319527401216
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1319527401216
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1319527401216
java.vm.specification.version,sysinfo,,,"1.7",1319527401216
java.vm.vendor,sysinfo,,,"Oracle Corporation",1319527401216
java.vm.version,sysinfo,,,"21.0-b17",1319527401216
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.tasks.ui",1319527401371
started,bundle,org.eclipse.mylyn.team.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.team.ui",1319527401387
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1319527401431
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1319527401553
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1319527401601
started,bundle,com.powerflasher.fdt.ui.launch,3.5.0.1094,"com.powerflasher.fdt.ui.launch",1319527401639
