what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1318239393670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239394647
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239395273
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.newWizard",1318239395281
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239396795
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239397960
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318239398202
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318239398239
executed,command,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.edit.text.openLocalFile",1318239398351
activated,view,com.powerflasher.fdt.ui,3.5.0.1094,"com.powerflasher.fdt.ui.views.FlashExplorer",1318239400262
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1318239400262
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239408561
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239437599
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239443884
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239446326
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1318239446336
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239450103
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239450182
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239450800
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239452395
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1318239452473
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1318239452949
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1318239452978
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1318239452980
